"","areaName","year","month","units"
"1","All Upper West Side","2010","01",2165
"2","All Upper West Side","2010","02",2188
"3","All Upper West Side","2010","03",2308
"4","All Upper West Side","2010","04",2454
"5","All Upper West Side","2010","05",2328
"6","All Upper West Side","2010","06",2414
"7","All Upper West Side","2010","07",2220
"8","All Upper West Side","2010","08",1925
"9","All Upper West Side","2010","09",1699
"10","All Upper West Side","2010","10",1669
"11","All Upper West Side","2010","11",1614
"12","All Upper West Side","2010","12",1559
"13","All Upper West Side","2011","01",1562
"14","All Upper West Side","2011","02",1575
"15","All Upper West Side","2011","03",1672
"16","All Upper West Side","2011","04",1608
"17","All Upper West Side","2011","05",1748
"18","All Upper West Side","2011","06",1957
"19","All Upper West Side","2011","07",2053
"20","All Upper West Side","2011","08",2079
"21","All Upper West Side","2011","09",1922
"22","All Upper West Side","2011","10",2033
"23","All Upper West Side","2011","11",1701
"24","All Upper West Side","2011","12",1587
"25","All Upper West Side","2012","01",1718
"26","All Upper West Side","2012","02",1809
"27","All Upper West Side","2012","03",1897
"28","All Upper West Side","2012","04",1967
"29","All Upper West Side","2012","05",2132
"30","All Upper West Side","2012","06",2255
"31","All Upper West Side","2012","07",2242
"32","All Upper West Side","2012","08",2264
"33","All Upper West Side","2012","09",1956
"34","All Upper West Side","2012","10",1938
"35","All Upper West Side","2012","11",1882
"36","All Upper West Side","2012","12",1797
"37","All Upper West Side","2013","01",1932
"38","All Upper West Side","2013","02",1972
"39","All Upper West Side","2013","03",2118
"40","All Upper West Side","2013","04",2299
"41","All Upper West Side","2013","05",2416
"42","All Upper West Side","2013","06",2432
"43","All Upper West Side","2013","07",2549
"44","All Upper West Side","2013","08",2516
"45","All Upper West Side","2013","09",2527
"46","All Upper West Side","2013","10",2588
"47","All Upper West Side","2013","11",2382
"48","All Upper West Side","2013","12",2507
"49","All Upper West Side","2014","01",2487
"50","All Upper West Side","2014","02",2537
"51","All Upper West Side","2014","03",2692
"52","All Upper West Side","2014","04",2689
"53","All Upper West Side","2014","05",2963
"54","All Upper West Side","2014","06",3363
"55","All Upper West Side","2014","07",3557
"56","All Upper West Side","2014","08",3284
"57","All Upper West Side","2014","09",2941
"58","All Upper West Side","2014","10",2809
"59","All Upper West Side","2014","11",2564
"60","All Upper West Side","2014","12",2464
"61","All Upper West Side","2015","01",2683
"62","All Upper West Side","2015","02",2569
"63","All Upper West Side","2015","03",2892
"64","All Upper West Side","2015","04",3101
"65","All Upper West Side","2015","05",3271
"66","All Upper West Side","2015","06",3529
"67","All Upper West Side","2015","07",3688
"68","All Upper West Side","2015","08",3407
"69","All Upper West Side","2015","09",3006
"70","All Upper West Side","2015","10",2887
"71","All Upper West Side","2015","11",2659
"72","All Upper West Side","2015","12",2648
"73","All Upper West Side","2016","01",2727
"74","All Upper West Side","2016","02",2724
"75","All Upper West Side","2016","03",2882
"76","All Upper West Side","2016","04",2918
"77","All Upper West Side","2016","05",3221
"78","All Upper West Side","2016","06",3560
"79","All Upper West Side","2016","07",3557
"80","All Upper West Side","2016","08",3652
"81","All Upper West Side","2016","09",3294
"82","All Upper West Side","2016","10",3181
"83","All Upper West Side","2016","11",3002
"84","All Upper West Side","2016","12",2774
"85","All Upper West Side","2017","01",2891
"86","All Upper West Side","2017","02",2805
"87","All Upper West Side","2017","03",3073
"88","All Upper West Side","2017","04",3090
"89","All Upper West Side","2017","05",3511
"90","All Upper West Side","2017","06",3743
"91","All Upper West Side","2017","07",3664
"92","All Upper West Side","2017","08",3163
"93","All Upper West Side","2017","09",2892
"94","All Upper West Side","2017","10",2857
"95","All Upper West Side","2017","11",2632
"96","All Upper West Side","2017","12",2326
"97","All Upper West Side","2018","01",2542
"98","All Upper West Side","2018","02",2425
"99","All Upper West Side","2018","03",2552
"100","All Upper West Side","2018","04",2758
"101","All Upper West Side","2018","05",2955
"102","All Upper West Side","2018","06",3073
"103","All Upper West Side","2018","07",3157
"104","All Upper West Side","2018","08",3178
"105","All Upper West Side","2018","09",2666
"106","All Upper West Side","2018","10",2636
